Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.3,10,77.8
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.8,14,77.2
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),36.6,7,75.9
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.3,14,88.4
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.5,7,93.5
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),22.7,10,91.9
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),28.7,7,95.6
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.9,14,79.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.4,14,74.5
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.7,14,97.7
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),27.2,14,94.4
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),33.1,14,96.2
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.5,10,73.2
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.4,7,66.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.4,7,91.4
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.0,14,91.4
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.4,14,75.1
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.1,7,80.9
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),20.1,10,76.7
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.6,14,70.8
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),36.0,7,91.9
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.0,7,88.5
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.6,7,78.0
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.0,7,74.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.5,14,72.6
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.6,7,88.8
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.4,7,81.8
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.8,10,94.1
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.2,14,67.4
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.6,7,89.1
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.9,14,94.0
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.3,7,74.0
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.2,14,68.5
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.1,7,76.3
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),26.9,10,67.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,77.5
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),32.5,14,75.2
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.3,7,89.9
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,7,95.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.4,14,67.7
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.6,14,92.7
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.1,7,90.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.5,7,80.0
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.4,10,80.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.0,14,66.5
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.8,7,92.3
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),36.0,7,75.6
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.3,14,69.8
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.8,14,95.9
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),17.9,10,73.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.4,10,91.6
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.8,7,70.7
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.0,7,93.7
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),20.3,10,72.7
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.6,10,80.7
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),22.3,14,88.3
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),33.0,14,90.4
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.8,7,72.3
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.9,14,88.0
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.9,14,98.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.2,10,69.5
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.4,14,88.4
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),29.5,7,89.2
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.9,14,95.9
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.8,14,88.2
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.1,14,90.5
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,93.7
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.2,7,90.8
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.7,14,71.5
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,72.0
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),36.4,7,79.6
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.8,14,98.4
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),23.5,7,89.0
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),48.9,14,68.4
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.7,10,79.9
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),35.8,14,67.7
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),26.7,10,76.8
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.9,7,92.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.8,14,72.5
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.1,14,66.1
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.9,14,75.4
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.2,7,79.1
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.2,14,88.2
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.5,7,91.3
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.5,14,91.3
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.3,7,73.4
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.5,7,68.9
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.5,10,67.3
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.1,14,98.7
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.2,14,90.1
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),20.9,10,65.1
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.1,14,97.2
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.8,14,74.2
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.3,7,95.2
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),28.8,7,88.5
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),45.5,7,65.9
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),17.2,10,80.1
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.6,7,89.2
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.4,14,71.7
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.9,7,70.4
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.5,10,73.6
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.4,7,78.6
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),47.7,14,79.4
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.6,7,95.8
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.4,10,80.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.4,7,94.3
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.0,7,96.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,88.5
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),51.0,14,73.4
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.8,14,80.0
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.1,7,88.5
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.6,10,65.0
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.4,14,89.3
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),41.4,14,66.9
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.1,7,95.8
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.2,10,68.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,14,97.5
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.1,7,96.5
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.7,7,96.5
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.0,14,75.1
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.3,14,89.3
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),32.6,14,73.7
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,7,93.2
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.9,14,92.0
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.7,10,89.8
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.5,14,92.2
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.0,7,77.4
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.8,10,80.8
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.7,14,88.6
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),26.6,14,97.8
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.0,10,79.1
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.4,10,67.6
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.2,10,73.0
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.9,14,75.2
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,97.8
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.9,7,81.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.3,14,80.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.4,7,93.7
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.2,10,77.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.3,7,68.4
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.2,7,68.7
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.5,7,92.8
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.8,14,93.0
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.1,10,96.7
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.8,7,90.5
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.2,7,69.7
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.7,7,91.0
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.5,7,90.3
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.7,7,66.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.5,7,77.2
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.7,10,80.7
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.3,14,94.3
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.4,14,69.4
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),41.7,14,76.8
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.6,14,90.4
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.9,7,95.4
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),26.2,14,94.8
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.7,10,72.8
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.5,7,79.3
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.1,14,96.8
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.9,14,92.5
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.1,14,79.0
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),20.8,10,96.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.7,7,91.9
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.3,7,89.2
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.5,10,78.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),21.6,10,79.5
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.9,14,91.8
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.4,7,89.1
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.8,14,77.0
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.2,7,71.8
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.9,7,91.7
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),20.7,10,74.4
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.2,14,94.9
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.5,7,91.7
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),33.6,7,92.9
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),20.2,10,92.6
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.7,14,77.5
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.4,10,69.2
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),38.6,14,75.4
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),28.4,10,73.3
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.2,10,70.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.3,10,66.8
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.6,14,95.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.1,14,77.4
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),29.2,10,65.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),23.9,7,98.7
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.8,14,74.0
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.9,14,94.4
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.0,14,78.9
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.4,14,73.4
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,96.2
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),31.0,7,91.4
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.2,14,81.6
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),26.4,14,91.1
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.0,10,77.4
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.6,14,93.8
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.3,14,69.9
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,7,76.1
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.6,7,69.8
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.4,14,75.3
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),35.2,14,81.5
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.2,7,66.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.7,10,92.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.4,7,69.9
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.8,7,67.0
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.1,7,92.1
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.1,14,98.5
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.4,14,69.3
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.7,14,93.9
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),33.3,14,71.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,71.8
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.2,14,93.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.3,10,71.4
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.6,10,76.7
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.4,7,92.8
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.4,7,78.6
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.8,14,73.3
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),23.9,7,91.2
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.4,7,69.0
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.5,14,98.3
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),22.7,10,73.8
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.5,7,92.3
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.8,14,91.7
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.0,7,70.4
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.5,10,76.5
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),20.7,10,66.1
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,68.3
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.9,14,71.4
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.3,7,95.3
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.5,7,66.0
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.7,14,70.2
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.2,10,96.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.1,7,88.2
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),28.3,10,73.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.1,7,74.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),42.9,7,96.1
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.8,14,79.8
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.6,7,94.1
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.7,10,92.0
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.0,7,73.9
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.9,7,68.5
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,75.0
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),41.5,14,66.6
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.1,7,96.7
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.4,7,94.9
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.4,14,76.5
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),42.4,7,88.3
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.3,7,95.4
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.6,14,68.7
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.9,7,78.6
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.0,14,98.1
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),31.2,7,79.6
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.0,14,69.3
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.2,14,78.5
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.7,14,88.9
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.4,14,65.4
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),32.3,14,97.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),33.7,7,95.7
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.7,14,91.8
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),20.7,10,77.6
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),42.3,7,73.7
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.9,7,88.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.4,10,70.7
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),38.6,14,79.4
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.2,7,72.5
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.3,14,95.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.2,7,88.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.5,10,79.3
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.6,7,75.5
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.8,7,97.1
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.7,14,78.4
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.2,7,90.4
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.6,7,88.4
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.6,14,91.7
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),31.4,14,72.1
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.7,10,69.6
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),28.5,7,65.5
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),31.0,7,70.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.2,10,97.5
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.6,14,93.4
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.2,14,67.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.8,14,92.9
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.4,10,88.7
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.1,7,97.9
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.3,10,97.5
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.5,10,94.8
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.4,14,96.8
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.7,7,72.9
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),17.6,7,98.4
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.1,14,96.6
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.0,7,79.0
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.9,7,73.0
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.6,14,81.5
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,65.6
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.6,7,73.0
